category,module_name,min_blocks,max_blocks,avg_dsp,min_firmware,block_list,notes
Interface,Audio Input,2,2,0.3%,2.0+,pedal input L | pedal input R,
Interface,Audio Output,2,3,1.0%,2.0+,pedal output L | pedal output R | gain*,
Interface,Midi Notes In,2,4,0.1%,2.0+,note out | gate out | velocity out* | trigger out*,
Interface,Midi Pitch Bend,1,1,0.1%,2.0+,pitch bend,
Interface,Midi CC In,1,1,0.1%,2.0+,cc value,
Interface,Midi Pressure,1,1,0.03%,2.0+,channel pressure,
Interface,Midi Clock In,1,4,0.1%,2.0+,quarter out | clock out* | reset out* | running output*,
Interface,Midi CC Out,1,1,0.1%,2.0+,cc out,
Interface,Midi PC Out,2,2,0.1%,2.0+,pc out | trigger in,
Interface,Midi Note Out,2,3,0.1%,2.0+,note in | gate in | velocity out*,
Interface,Midi Clock Out,1,5,0.3%,2.0+,cv/tap control | sent* | reset* | send position* | song position*,
Interface,Stompswitch,1,1,0.1%,2.0+,cv output,
Interface,Pixel,1,1,0.01%,2.0+,cv in/audio in,
Interface,UI Button,1,2,0.04%,2.0+,in | cv output*,
Interface,Pushbutton,1,1,0.02%,2.0+,switch,
Interface,Device Control,1,1,0.10%,2.0+,value,
Interface,Keyboard,3,26,0.1%,2.0+,note(#) | note out | gate out | trigger out,
Interface,Cport Exp/CV In,1,1,0.1%,2.0+,cv output,
Interface,Cport CV Out,1,1,0.1%,2.0+,cv input,
Interface (ZEBU),CV In,1,1,0.1%,2.0+,CV In,
Interface (ZEBU),CV Out,1,1,0.2%,2.0+,CV Out,
Audio,Oscillator,4,4,6.0%,2.0+,frequency | FM input* | duty cycle* | audio out,
Audio,VCA,3,5,0.3%,2.0+,audio in 1 | audio in 2* | level control | audio out 1 | audio out 2*,
Audio,SV Filter,4,6,1.0%,2.0+,audio in | frequency | resonance | lowpass output | hipass output* | bandpass output*,
Audio,Multi-Filter,4,5,0.8%,2.0+,audio in | gain* | frequency | q | audio out,
Audio,Delay Line,3,4,2.0%,2.0+,audio in | delay time | audio out | (tap: modulation in | tap tempo in | audio out),
Audio,Audio Panner,4,5,1.0%,2.0+,audio in 1 | audio in 2* | pan | audio out 1 | audio out 2,
Audio,Pitch Shifter,3,3,15.1%,2.0+,audio in | pitch shift | audio out,
Audio,Audio Balance,4,7,0.8%,2.0+,audio in1 | audio in2 | mix | audio out1 | (stereo: in1L | in1R | in2L | in2R | mix | outL | outR),
Audio,Audio Mixer,9,34,3.0-20%,2.0+,inL1 | inL2 | gain1 | gain2 | pan1* | pan2* | outL | outR* (×channels),
Audio,Inverter,2,2,0.2%,2.0+,audio in | audio out,
Audio,Audio In Switch,4,18,0.8%,2.0+,audio in 1 | audio in 2* | in select | audio out,
Audio,Audio Out Switch,3,18,0.7%,2.0+,audio in | out select | audio out 1 | audio out 2*,
Audio,All Pass Filter,3,3,3.0%,2.0+,audio in | filter gain | audio out,
Audio,Noise,1,1,0.4%,2.0+,audio out,
Audio,Audio Multiply,3,3,0.2%,2.0+,audio in 1 | audio in 2 | audio out,
Audio,Bit Crusher,3,3,0.3%,2.0+,audio in | crushed bits | audio out,
